Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
2.5238558505802913,Transformer.tr(r:p4udt0-p4udt0lv),p4udt0.2,25.0,1
3.2464062149831268,Transformer.tr(r:p4udt13-p4udt13lv),p4udt13.1,25.0,1
3.2555805021304605,Transformer.tr(r:p4udt12-p4udt12lv),p4udt12.2,25.0,1
