OpenDSS Value (p.u.),Bus
0.9921623553444817,p4ulv3
0.9927462647214838,p4udm4
0.997218728394342,p4udm5
0.9973067140395026,p4ulv32
0.9998390836855879,p4ulv16
0.9999981275296287,sb5_p4uhs0_4_node_5_12
0.9999985012770297,sb5_p4uhs0_4_node_5_11
0.9999988750240177,sb5_p4uhs0_4_bus_5_1
0.9999992487705929,sb5_p4uhs0_4_node_5_7
0.9999996225167552,sb5_p4uhs0_4_node_5_6
0.9999999962625047,p4uhs0_69
1.0009435721291364,p4udt2lv
1.0034668051227686,p4ulv7
1.003881569261015,p4udt14lv
1.004402091256888,p4ulv19
1.0044040106196608,p4ulv36
1.0047800556181306,p4ulv11
1.00576211841369,p4ulv35
1.0058158173272926,p4udm14
1.0058358260387978,p4udt1lv
1.005978264155953,p4udt26lv
1.0060584403161612,p4udt17lv
1.0065879360768262,p4ulv2
1.0085045455741894,p4ulv9
1.0086306449260014,p4udt8lv
1.0093334871950908,p4ulv31
1.0094511413758946,p4udt6lv
1.0097263214912604,p4ulv8
1.0097775225184595,p4udt23lv
1.0098112485133264,p4ulv33
1.0099229537351357,p4ulv30
1.0104033862714088,p4udt24lv
1.0104892395058722,p4udm13
1.0105052874242657,p4ulv27
1.0109170909843483,p4ulv4
1.0109174047031237,p4udt1
1.0109195374767337,p4udt1-p4udt17x
1.0109241227936918,p4udt17
1.0109913188636854,p4ulv5
1.0109922810302143,p4udt21lv
1.0110582691199932,p4ulv39
1.011125206303577,p4udt17-p4udt2x
1.0111303515107222,p4udt2
1.011345576889489,p4ulv12
1.0114826844687115,p4udm8
1.0117673339187754,p4udt28lv
1.0121864337174298,p4ulv18
1.012698215937033,p4ulv38
1.0127142179317614,p4udm23
1.0128809365573654,p4ulv13
1.012945839856026,p4ulv21
1.0130501216669852,p4udt11lv
1.0132695419330013,p4udm9
1.0134711731480728,p4udt10lv
1.0135106859354028,p4udm24
1.0135161051409798,p4udt3lv
1.0138144568512142,p4ulv1
1.0139207231448513,p4udm7
1.0140810707135692,p4udt14
1.0141065593186227,p4udt11-p4udt14xxx
1.0142197991319464,p4ulv20
1.0144045962006212,p4udt7lv
1.0144494042308034,p4ulv22
1.0146545501715318,p4udt18lv
1.0147809011064686,p4udm0
1.0148697058688263,p4ulv28
1.0149697674000429,p4udt22lv
1.015225711139915,p4ulv17
1.0152554496662516,p4udt16lv
1.0156144245292582,p4udt13lv
1.0158757452474019,p4ulv37
1.0160219795498202,p4udt15lv
1.0160331546031494,p4udt12lv
1.0166223963682126,p4udt2-p4udt26x_b2_1
1.0166390207319964,p4udt2-p4udt26x_b1_1
1.016742120276926,p4udt27lv
1.0167553696197285,p4udt11-p4udt14xx
1.0168338820959721,p4udt4lv
1.0171715056564854,p4udt23
1.0172430206867473,p4udt2-p4udt26x
1.0172565036935548,p4udt23-p4udt26x
1.0172575818452925,p4udt10
1.0172596452470675,p4udt26
1.0172899113255855,p4ulv25
1.0176161132293995,p4udt10-p4udt23x
1.0176161173137566,p4udt10-p4udt23xx
1.017617700069143,p4udt0lv
1.0177941423158818,p4udt11-p4udt14x
1.0178196530699344,p4udt11
1.0179467344892243,p4udm30
1.0179646725857683,p4udt23-p4udt7xx
1.0179646727833003,p4udt23-p4udt7x
1.017985621362056,p4ulv40
1.0179987106941897,p4udt7
1.0179987182794583,p4udt13-p4udt7xx
1.0180537658531863,p4ulv24
1.018130416111404,p4udt13-p4udt7x
1.0181304237029574,p4udt13
1.018167484359898,p4ulv15
1.0182557908969647,p4udm11
1.018267864836968,p4ulv26
1.0188964101302396,p4udt20lv
1.0189856563552007,p4udm29
1.0190495819789271,p4ulv23
1.0190660582313757,p4udt0-p4udt11xx
1.0191645591158611,p4udt12-p4udt26x
1.0191887485889268,p4udt12
1.0199681021648384,p4udt19lv
1.0200500903660348,p4udt12-p4udt8x
1.0200717223690747,p4udt8
1.0200997549882986,p4ulv6
1.0208289729288502,p4udt5lv
1.0209815082452496,p4udt16
1.0209815116787062,p4udt16-p4udt21x
1.0210668253430335,p4udt21
1.0211781962913413,p4udt3
1.0212673545341813,p4udt0-p4udt8x
1.0212673547950761,p4udt0-p4udt11x
1.0212673806117623,p4udt0
1.02127365222327,p4udt28
1.0212844033719009,p4udt16-p4udt21xx
1.0212844067999147,p4udt16-p4udt21xxx
1.021462655316398,p4udt3-p4udt6x
1.0214703861748404,p4udt28-p4udt6x
1.0214739277439246,p4udt6
1.021473939931181,p4udt2-p4udt6x
1.0216228733876183,p4udt21-p4udt9x
1.0216279301867908,p4udt9
1.0216874235727216,p4udt15-p4udt9x
1.0216925620423296,p4udt15
1.0217592194035203,p4udt15-p4udt22x
1.021764986501074,p4udt22
1.0219681169096775,p4udt22-p4udt5x
1.0219753993563871,p4udt5
1.0220174301009002,p4udt18-p4udt5x
1.0220251201178696,p4udt18
1.0221304600920673,p4ulv10
1.0221499573560096,p4udt18-p4udt27x
1.0221551372688418,p4udt27
1.0221872151499982,p4udt24
1.0222013450844547,p4udt9lv
1.0223814449226747,p4udt27-p4udt4x
1.0223814473254487,p4udt24-p4udt4x
1.0223814520033623,p4udt4
1.0225814554566717,p4udt19
1.0226373750319335,p4udt19-p4udt20x
1.0226373765260548,p4udt20
1.0227429036758053,p4udt0-p4uhs0_4x
1.022769631666465,p4udt6-p4uhs0_4x
1.0227907498521749,sb5_p4uhs0_4_bus_5_7
1.0228079410738955,sb5_p4uhs0_4_bus_5_5
1.0228407857149209,sb5_p4uhs0_4_node_5_21
1.022847401678035,p4udt20-p4udt27x
1.022847405250052,p4udt20-p4udt27xx
1.022852246706116,sb5_p4uhs0_4_node_5_19
1.0228905504027193,p4udt4-p4uhs0_4x
1.022890821809053,sb5_p4uhs0_4_node_5_17
1.0228965523929998,sb5_p4uhs0_4_node_5_15
1.0229006709418231,sb5_p4uhs0_4_bus_5_6
1.0229140665612126,sb5_p4uhs0_4_node_5_20
1.02292746229212,sb5_p4uhs0_4_node_5_16
1.0229408581345398,sb5_p4uhs0_4_bus_5_2
1.0229408581395647,sb5_p4uhs0_4_node_5_14
1.022940858144165,sb5_p4uhs0_4_node_5_18
1.022940858148341,sb5_p4uhs0_4_bus_5_4
1.0229408581509958,sb5_p4uhs0_4_node_5_1
1.0230485964327312,sb5_p4uhs0_4_node_5_13
1.023522190303429,p4udt18-p4udt25x
1.0235222029329867,p4udt18-p4udt25xx
1.0235355820158034,p4udt25
1.036604704894763,p4udt25lv
1.0443745628472727,p4ulv34
1.0500417577358325,p4ulv14
1.0625450698760486,p4udm1
1.0741753806238652,p4ulv29
