#time 	tag	 type*	 value
4800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
5100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
5400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
5700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
6000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
6300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
6600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
6900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
7200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
7500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
7800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
8100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
8400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
8700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
9000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
9300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
9600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
9900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
10200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
10500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
