OpenDSS Value (p.u.),Bus
1.0170149178198604,p4ulv33
1.017602857971279,p4udt24lv
1.0177046403310686,p4ulv27
1.0177539864803404,p4ulv30
1.018188186520652,p4udt21lv
1.0188140026960864,p4ulv5
1.0188694774041673,p4ulv18
1.0193017131736144,p4udm8
1.0193938010324322,p4udm23
1.019623882824002,p4ulv21
1.0201850304936166,p4udm24
1.0205077592711929,p4ulv38
1.021074710716381,p4udm9
1.0211175875031815,p4ulv22
1.0213922243537032,p4ulv20
1.0217209059003483,p4udm7
1.0218239193668042,p4udt18lv
1.0219183700268855,p4udt16lv
1.0220373628782193,p4ulv28
1.0221367220665651,p4udt22lv
1.0230135998794048,p4ulv17
1.0236595323714226,p4ulv37
1.0238037973749345,p4udt15lv
1.0239414022676434,p4ulv25
1.0245193107216983,p4udt27lv
1.0245939566458429,p4udm30
1.0246117193080748,p4udt4lv
1.0247002240572067,p4ulv24
1.0249129923621991,p4ulv26
1.024973511919677,p4ulv40
1.0252418388290512,p4udm11
1.0255374601954337,p4udt20lv
1.0256260665651737,p4udm29
1.0256895656156249,p4ulv23
1.0266021359398203,p4udt19lv
1.0270732062248702,p4ulv6
1.0276145019042453,p4udt16
1.0276145053153494,p4udt16-p4udt21x
1.0277974705167456,p4udt5lv
1.027915420523431,p4udt16-p4udt21xx
1.0279154239290478,p4udt16-p4udt21xxx
1.0281876020014973,p4udt21
1.0287400258941808,p4udt21-p4udt9x
1.0287450479280795,p4udt9
1.0288041526080802,p4udt15-p4udt9x
1.0288092559269513,p4udt15
1.0288754754385994,p4udt15-p4udt22x
1.0288812026795657,p4udt22
1.0290829864899644,p4udt22-p4udt5x
1.029090149089504,p4ulv10
1.0290902187746174,p4udt5
1.029131965579728,p4udt18-p4udt5x
1.0291396027550095,p4udt18
1.029160675309936,p4udt9lv
1.0292062957220462,p4udt19
1.0292618626869248,p4udt19-p4udt20x
1.0292618641715983,p4udt20
1.0292637474841726,p4udt18-p4udt27x
1.029268887272415,p4udt27
1.0293010959510456,p4udt24
1.0294705578157304,p4udt20-p4udt27x
1.0294705613650341,p4udt20-p4udt27xx
1.0294939442151376,p4udt27-p4udt4x
1.029493946597763,p4udt24-p4udt4x
1.029493951242729,p4udt4
1.0299998670333472,p4udt4-p4uhs0_4x
1.0304805068588871,p4udt18-p4udt25x
1.0304805194152333,p4udt18-p4udt25xx
1.0304938188701327,p4udt25
1.0434821479032244,p4udt25lv
1.0512025843889794,p4ulv34
